title,img1,img2,price,status,brand
[819352-100] K NIKE KAWA BLACK WHITE,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/0000201241998-02-sw.jpg?v=1648028188000,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/0000201241998-01-sw.jpg?v=1648028188000,950.000?,40,NIKE
"[CZ8027-100] W JORDAN NOLA ""TRIPLE WHITE""",https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/cz8027-100-2.jpg?v=1646463760000,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/cz8027-100-1.jpg?v=1646463736000,1.250.000?,35.5|36.5|38|39|40.5|42|43,JORDAN
[FU7592] M ADIDAS ADILETTE LITE SLIDES GREY THREE,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/adilette-lite-slides-grey-fu7592-06-standard.jpg?v=1646464252000,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/adilette-lite-slides-grey-fu7592-02-standard-hover.jpg?v=1646464252000,800.000?,39|44.5,ADIDAS
"[GY7491] K ADIDAS ADILETTE LITE SLIDES ""CLOUD WHITE""",https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/014ea8ca-8275-417c-a03c-a87d22e24de4-jpeg.jpg?v=1648366080000,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/e5c60781-f1e4-41c1-93a0-60c9a4cf02e1-jpeg.jpg?v=1648366068000,900.000?,36|37|38|39,ADIDAS
[FU8297] M ADIDAS ADILETTE LITE SLIDES WHITE,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/ad03344.jpg?v=1648027696000,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/0000206688927-1-1.jpg?v=1648027696000,800.000?,39|40.5|42|43|44.5,ADIDAS
[FY3670] W ADIDAS ADILETTE SLIDE 'HER STUDIO LONDON' FLORAL WHITE,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/sandalias-adilette-blanco-fy3670-04-standard.jpg?v=1647181223000,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/sandalias-adilette-blanco-fy3670-02-standard-hover.jpg?v=1647181207000,1.450.000?,37|38|39|40.5|42|43,ADIDAS
[H00142] W ADIDAS ADILETTE CLOUD WHITE,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/adilette-slides-white-h00142-03-standard.jpg?v=1647242707000,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/adilette-slides-white-h00142-02-standard-hover.jpg?v=1647242691000,1.250.000?,37|38|39|40.5|42,ADIDAS
"[CZ8027-001] W JORDAN NOLA ""BLACK""",https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/cz8027-001-2.jpg?v=1646490387000,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/cz8027-001-1.jpg?v=1646490375000,1.250.000?,35.5|36.5|38|39|40.5|42|43|44.5,JORDAN
"[GW2411] M ADIDAS ADILET SANDAL 2.0 PRIDE ""LOVE UNITES""",https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/dep-adilette-2-0-pride-trang-gw2411-04-standard.jpg?v=1647242441000,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/dep-adilette-2-0-pride-trang-gw2411-02-standard-hover.jpg?v=1647241973000,1.950.000?,40.5|42|43,ADIDAS
[AR6374-013] M NIKE JORDAN BREAK SLIDE BLACK GREY,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/jordan-break-slide-blackwhite-smoke-grey-white-602b7c4702bd2-jpeg.jpg?v=1645531900000,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/jordan-break-slide-blackwhite-smoke-grey-white-602b7c4748e50-jpeg.jpg?v=1645531885000,1.150.000?,41|44,JORDAN
"[CI8800-006] M NIKE ASUNA SLIDE ""BLACK SMOCK GREY""",https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/nike-asuna-slide-black-smoke-grey-ci8800-006-1.jpg?v=1648106070000,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/4-2-d31b653b0c6442f48b89ac7e7548f35b.jpg?v=1648106046000,1.350.000?,40,NIKE
"[CI8800-002] M NIKE ASUNA SLIDE ""BLACK/ANTHRACITE-WHITE""",https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/ipad-nike-asuna-slide-black-anthracite-1.jpg?v=1647243334000,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/ipad-nike-asuna-slide-black-anthracite-4.jpg?v=1647243334000,1.350.000?,40|41,NIKE
[G55375] M ADIDAS ADILETTE SLIDE RED WHITE BLUE,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/adilette-slides-red-g55375-02-standard.jpg?v=1643100797000,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/adilette-slides-red-g55375-010-hover-standard.jpg?v=1643100787000,1.250.000?,37|38,ADIDAS
[H00569] W ADIDAS ADILETTE SLIDE 'HER STUDIO LONDON',https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/her-studio-london-adilette-slides-red-h00569-01-standard.jpg?v=1642654969000,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/her-studio-london-adilette-slides-red-h00569-02-standard-hover.jpg?v=1642654969000,1.450.000?,37|38|39,ADIDAS
[H05680] W ADIDAS ADILETTE LITE PINK TINT,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/adilette-lite-slides-pink-h05680-01-standard.jpg?v=1642654753000,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/adilette-lite-slides-pink-h05680-02-standard-hover.jpg?v=1642654753000,750.000?,37|38|39,ADIDAS
[FZ1751] M ADIDAS ADILETTE COMFORT CLOUD WHITE/CORE BLACK,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/sandal-adilette-comfort-trang-fz1751-02-standard-hover.jpg?v=1641969021000,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/sandal-adilette-comfort-trang-fz1751-01-standard.jpg?v=1641969006000,800.000?,38|39|40.5|42|43,ADIDAS
"[DD3242-600] K NIKE KAWA SLIDE FUN ""SUNSET PULSE""",https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/kawa-younger-older-slide-pltgm7-ae356131-d274-412e-909a-d007fd1470d1.png?v=1641968885000,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/kawa-younger-older-slide-pltgm7-180268c7-fe28-4d84-829a-f97239da76d3.png?v=1641968877000,950.000?,36|37.5|38.5,NIKE
[AR6374-602] M NIKE JORDAN BREAK SLIDE UNIVERCITY RED,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/jordan-break-slides-qmwklg-dd5cd944-3b70-4252-9372-7460261a9e11.png?v=1640951709000,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/jordan-break-slides-qmwklg.png?v=1640951475000,1.150.000?,40|41|42.5|44,JORDAN
[DN4238-701] M NIKE AIR JORDAN RETRO IV 4 HYDRO SLIDE LIGHTNING 'YELLOW/DARK BLUE GREY',https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/jordan-hydro-slide-iv-lightning-dn4238-701-6-jpg-w-1140.jpg?v=1640951387000,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/jordan-hydro-slide-iv-lightning-dn4238-701-2-jpg-w-1140.jpg?v=1640951387000,1.850.000?,41|42.5|44|45|46,JORDAN
[GV7251] W ADIDAS ADILETTE COMFORT THE SIMPSONS,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/the-simpsons-adilette-comfort-slides-white-gv7251-09-standard.jpg?v=1640951175000,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/the-simpsons-adilette-comfort-slides-white-gv7251-011-hover-standard.jpg?v=1640951175000,1.125.000?,38|39|40.5|42|43,ADIDAS
[881474-011] K NIKE JORDAN HYDRO 6 BLACK/WOLF GREY,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/71xi5s-plus-fg5l-ac-ul1500.jpg?v=1640951056000,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/81typru9apl-ac-ul1500.jpg?v=1640951056000,1.650.000?,36|37.5|38.5|40,JORDAN
[819352-700] K NIKE KAWA SLIDE VOLT/BLACK,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/kawa-younger-older-slide-yatyzxrb-c1d6ccbe-6ffc-477e-9291-796f90b9e8e2.png?v=1640949662000,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/kawa-younger-older-slide-yatyzxrb.png?v=1640949650000,950.000?,36|37.5|38.5|40,NIKE
[FX1199] W ADIDAS ADILETTE SHOWER SIGNAL PINK,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/adilette-shower-slides-pink-fx1199-02-standard.jpg?v=1640078469000,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/adilette-shower-slides-pink-fx1199-010-hover-standard.jpg?v=1640078439000,750.000?,37|38|39,ADIDAS
